"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 09 00:33:44 ART 2022","Sat Jul 09 00:33:45 ART 2022","655","","SignUp page test","","SignUp page test","SignUp page elements test","SignUp page elements test",""
"passed","Sat Jul 09 00:33:41 ART 2022","Sat Jul 09 00:33:41 ART 2022","383","","Landing page sections content test","","Landing page sections content test","Reasons why you need us section","Reasons why you need us section",""
"passed","Sat Jul 09 00:34:06 ART 2022","Sat Jul 09 00:34:23 ART 2022","16687","","Edit profile info","","Edit profile info","Edit with correct data","Edit with correct data",""
"failed","Fri Jul 08 00:42:14 ART 2022","Fri Jul 08 00:42:18 ART 2022","4235","","Add timesheet test","","Add timesheet test","Complete inputs with invalid data","Complete inputs with invalid data",""
"passed","Sat Jul 09 00:33:50 ART 2022","Sat Jul 09 00:33:51 ART 2022","421","","Complete inputs with data","","Complete inputs with data","With invalid data","With invalid data",""
"passed","Sat Jul 09 00:34:38 ART 2022","Sat Jul 09 00:34:48 ART 2022","10414","","Basic employee login E2E","","Basic employee login E2E","E2E","E2E",""
"passed","Mon Jun 27 18:32:11 ART 2022","Mon Jun 27 18:32:14 ART 2022","3099","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"failed","Fri Jul 08 00:42:14 ART 2022","Fri Jul 08 00:42:14 ART 2022","603","","Add timesheet test","","Add timesheet test","Complete inputs with short data","Complete inputs with short data",""
"passed","Sat Jul 09 00:34:37 ART 2022","Sat Jul 09 00:34:38 ART 2022","828","","Basic employee login E2E","","Basic employee login E2E","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:33:50 ART 2022","Sat Jul 09 00:33:50 ART 2022","54","","Complete inputs with data","","Complete inputs with data","Without data","Without data",""
"failed","Thu Jul 07 23:45:14 ART 2022","Thu Jul 07 23:45:15 ART 2022","545","","Home page employee test","","Home page employee test","Complete inputs with short data","Complete inputs with short data",""
"passed","Sat Jul 09 00:33:49 ART 2022","Sat Jul 09 00:33:49 ART 2022","784","","Login page test","","Login page test","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:33:50 ART 2022","Sat Jul 09 00:33:50 ART 2022","462","","Complete inputs with data","","Complete inputs with data","With short data","With short data",""
"passed","Sat Jul 09 00:33:49 ART 2022","Sat Jul 09 00:33:50 ART 2022","226","","Login page test","","Login page test","Login page elements test","Login page elements test",""
"passed","Sat Jul 09 00:33:37 ART 2022","Sat Jul 09 00:33:40 ART 2022","2419","","Landing page buttons and inputs test","","Landing page buttons and inputs test","Footer buttons","Footer buttons",""
"passed","Sat Jul 09 00:34:25 ART 2022","Sat Jul 09 00:34:35 ART 2022","10068","","Home page employee test","","Home page employee test","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:34:35 ART 2022","Sat Jul 09 00:34:35 ART 2022","312","","Home page employee test","","Home page employee test","Elements test","Elements test",""
"passed","Sat Jul 09 00:33:41 ART 2022","Sat Jul 09 00:33:42 ART 2022","246","","Landing page sections content test","","Landing page sections content test","Misc section","Misc section",""
"passed","Sat Jul 09 00:34:05 ART 2022","Sat Jul 09 00:34:05 ART 2022","653","","Profile employee test","","Profile employee test","Elements test","Elements test",""
"passed","Sat Jul 09 00:34:05 ART 2022","Sat Jul 09 00:34:06 ART 2022","1114","","Edit profile info","","Edit profile info","Edit with invalid data","Edit with invalid data",""
"passed","Thu Jul 07 19:23:38 ART 2022","Thu Jul 07 19:23:39 ART 2022","1496","","Edit profile info","","Edit profile info","Edit with invalid info","Edit with invalid info",""
"passed","Sat Jul 09 00:33:36 ART 2022","Sat Jul 09 00:33:37 ART 2022","1514","","Landing page buttons and inputs test","","Landing page buttons and inputs test","Request info process","Request info process",""
"passed","Thu Jul 07 02:40:05 ART 2022","Thu Jul 07 02:40:06 ART 2022","1094","","Landing page test","","Landing page test","Sidebar buttons","Sidebar buttons",""
"passed","Thu Jul 07 02:40:04 ART 2022","Thu Jul 07 02:40:05 ART 2022","925","","Landing page test","","Landing page test","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:33:40 ART 2022","Sat Jul 09 00:33:41 ART 2022","386","","Landing page sections content test","","Landing page sections content test","Functionalities section","Functionalities section",""
"passed","Sat Jul 09 00:33:40 ART 2022","Sat Jul 09 00:33:40 ART 2022","406","","Landing page sections content test","","Landing page sections content test","Hi, we are Trackgenix SA section","Hi, we are Trackgenix SA section",""
"passed","Sat Jul 09 00:33:58 ART 2022","Sat Jul 09 00:34:05 ART 2022","6950","","Profile employee test","","Profile employee test","""before all"" hook","""before all"" hook",""
"passed","Wed Jun 29 01:29:52 ART 2022","Wed Jun 29 01:29:53 ART 2022","947","","Landing page test","","Landing page test","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:33:32 ART 2022","Sat Jul 09 00:33:33 ART 2022","967","","Landing page buttons and inputs test","","Landing page buttons and inputs test","""before all"" hook","""before all"" hook",""
"passed","Wed Jun 29 01:29:53 ART 2022","Wed Jun 29 01:29:55 ART 2022","1978","","Landing page test","","Landing page test","Social Media buttons","Social Media buttons",""
"passed","Thu Jul 07 02:40:06 ART 2022","Thu Jul 07 02:40:08 ART 2022","1454","","Landing page test","","Landing page test","Header buttons","Header buttons",""
"passed","Sat Jul 09 00:33:51 ART 2022","Sat Jul 09 00:33:56 ART 2022","5214","","Complete inputs with data","","Complete inputs with data","With correct data","With correct data",""
"passed","Sat Jul 09 00:33:43 ART 2022","Sat Jul 09 00:33:44 ART 2022","721","","SignUp page test","","SignUp page test","""before all"" hook","""before all"" hook",""
"passed","Sat Jul 09 00:33:41 ART 2022","Sat Jul 09 00:33:41 ART 2022","382","","Landing page sections content test","","Landing page sections content test","Request information section","Request information section",""
"passed","Sat Jul 09 00:33:33 ART 2022","Sat Jul 09 00:33:34 ART 2022","1149","","Landing page buttons and inputs test","","Landing page buttons and inputs test","Sidebar buttons","Sidebar buttons",""
"passed","Thu Jul 07 03:50:35 ART 2022","Thu Jul 07 03:50:35 ART 2022","271","","Landing page sections content test","","Landing page sections content test","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 07 02:40:08 ART 2022","Thu Jul 07 02:40:10 ART 2022","2033","","Landing page test","","Landing page test","Footer buttons","Footer buttons",""
"failed","Fri Jul 08 00:42:18 ART 2022","Fri Jul 08 00:42:23 ART 2022","4216","","Add timesheet test","","Add timesheet test","Complete inputs with valid data","Complete inputs with valid data",""
"passed","Sat Jul 09 00:33:34 ART 2022","Sat Jul 09 00:33:36 ART 2022","1612","","Landing page buttons and inputs test","","Landing page buttons and inputs test","Header buttons","Header buttons",""
